Timestamp,DL_bitrate
2018.01.17_16.09.12,1688
2018.01.17_16.09.13,1923
2018.01.17_16.09.14,1554
2018.01.17_16.09.15,1811
2018.01.17_16.09.16,1353
2018.01.17_16.09.17,1353
2018.01.17_16.09.18,637
2018.01.17_16.09.19,615
2018.01.17_16.09.20,693
2018.01.17_16.09.22,300
2018.01.17_16.09.23,1174
2018.01.17_16.09.24,1375
2018.01.17_16.09.25,1420
2018.01.17_16.09.26,1051
2018.01.17_16.09.27,1006
2018.01.17_16.09.28,984
2018.01.17_16.09.29,1319
2018.01.17_16.09.30,1789
2018.01.17_16.09.31,1476
2018.01.17_16.09.33,1398
2018.01.17_16.09.34,1957
2018.01.17_16.09.35,1957
2018.01.17_16.09.36,2561
2018.01.17_16.09.37,3210
2018.01.17_16.09.38,2874
2018.01.17_16.09.39,3590
2018.01.17_16.09.40,3411
2018.01.17_16.09.41,1678
2018.01.17_16.09.43,2214
2018.01.17_16.09.44,2203
2018.01.17_16.09.45,2549
2018.01.17_16.09.46,2427
2018.01.17_16.09.47,1867
2018.01.17_16.09.48,1923
2018.01.17_16.09.49,1991
2018.01.17_16.09.50,1666
2018.01.17_16.09.51,1711
2018.01.17_16.09.52,1632
2018.01.17_16.09.54,1756
2018.01.17_16.09.55,1699
2018.01.17_16.09.56,2236
2018.01.17_16.09.57,2147
2018.01.17_16.09.58,2427
2018.01.17_16.09.59,2471
2018.01.17_16.10.00,2102
2018.01.17_16.10.01,1744
2018.01.17_16.10.02,1274
2018.01.17_16.10.03,2247
2018.01.17_16.10.05,1174
2018.01.17_16.10.06,1151
2018.01.17_16.10.07,939
2018.01.17_16.10.08,1051
2018.01.17_16.10.09,1398
2018.01.17_16.10.10,1398
2018.01.17_16.10.11,1453
2018.01.17_16.10.12,1398
2018.01.17_16.10.13,1621
2018.01.17_16.10.15,1476
2018.01.17_16.10.16,1454
2018.01.17_16.10.17,1912
2018.01.17_16.10.18,2203
2018.01.17_16.10.19,2259
2018.01.17_16.10.20,2203
2018.01.17_16.10.21,1968
2018.01.17_16.10.22,2460
2018.01.17_16.10.23,3109
2018.01.17_16.10.25,3109
2018.01.17_16.10.26,4261
2018.01.17_16.10.27,4440
2018.01.17_16.10.28,3299
2018.01.17_16.10.29,2471
2018.01.17_16.10.30,3400
2018.01.17_16.10.31,2851
2018.01.17_16.10.32,2695
2018.01.17_16.10.33,1957
2018.01.17_16.10.34,1543
2018.01.17_16.10.36,2057
2018.01.17_16.10.37,2180
2018.01.17_16.10.38,1856
2018.01.17_16.10.39,1398
2018.01.17_16.10.40,1946
2018.01.17_16.10.41,1420
2018.01.17_16.10.42,2259
2018.01.17_16.10.43,2259
2018.01.17_16.10.43,2069
2018.01.17_16.10.44,1946
2018.01.17_16.10.46,1800
2018.01.17_16.10.47,2494
2018.01.17_16.10.48,2930
2018.01.17_16.10.49,3265
2018.01.17_16.10.50,3780
2018.01.17_16.10.51,4003
2018.01.17_16.10.52,4015
2018.01.17_16.10.53,4540
2018.01.17_16.10.54,5401
2018.01.17_16.10.55,3937
2018.01.17_16.10.57,3276
2018.01.17_16.10.58,2997
2018.01.17_16.10.59,3299
2018.01.17_16.11.00,3769
2018.01.17_16.11.01,4227
2018.01.17_16.11.02,2740
2018.01.17_16.11.03,3321
2018.01.17_16.11.04,3511
2018.01.17_16.11.05,3578
2018.01.17_16.11.07,3109
2018.01.17_16.11.08,2840
2018.01.17_16.11.09,3858
2018.01.17_16.11.10,4753
2018.01.17_16.11.11,4797
2018.01.17_16.11.12,3243
2018.01.17_16.11.13,4417
2018.01.17_16.11.14,3399
2018.01.17_16.11.15,2941
2018.01.17_16.11.16,4674
2018.01.17_16.11.18,5077
2018.01.17_16.11.19,4831
2018.01.17_16.11.20,4070
2018.01.17_16.11.21,5032
2018.01.17_16.11.22,5301
2018.01.17_16.11.23,5625
2018.01.17_16.11.24,5871
2018.01.17_16.11.25,4965
2018.01.17_16.11.26,5424
2018.01.17_16.11.28,5021
2018.01.17_16.11.29,4440
2018.01.17_16.11.30,2896
2018.01.17_16.11.31,3836
2018.01.17_16.11.32,3086
2018.01.17_16.11.33,4495
2018.01.17_16.11.34,4115
2018.01.17_16.11.35,6151
2018.01.17_16.11.36,6766
2018.01.17_16.11.37,5468
2018.01.17_16.11.39,5245
2018.01.17_16.11.40,5491
2018.01.17_16.11.41,3892
2018.01.17_16.11.42,5077
2018.01.17_16.11.43,6017
2018.01.17_16.11.44,5905
2018.01.17_16.11.45,5849
2018.01.17_16.11.46,3925
2018.01.17_16.11.47,4182
2018.01.17_16.11.49,3220
2018.01.17_16.11.50,3735
2018.01.17_16.11.51,4618
2018.01.17_16.11.52,5703
2018.01.17_16.11.53,4372
2018.01.17_16.11.54,4350
2018.01.17_16.11.55,4216
2018.01.17_16.11.56,3634
2018.01.17_16.11.57,3970
2018.01.17_16.11.58,4272
2018.01.17_16.12.00,2974
2018.01.17_16.12.01,3824
2018.01.17_16.12.02,4138
2018.01.17_16.12.03,4250
2018.01.17_16.12.04,4037
2018.01.17_16.12.05,3993
2018.01.17_16.12.06,3847
2018.01.17_16.12.07,4305
2018.01.17_16.12.08,4853
2018.01.17_16.12.10,4104
2018.01.17_16.12.11,3366
2018.01.17_16.12.12,5345
2018.01.17_16.12.13,4138
2018.01.17_16.12.14,5536
2018.01.17_16.12.15,5569
2018.01.17_16.12.16,3947
2018.01.17_16.12.17,3947
2018.01.17_16.12.17,4865
2018.01.17_16.12.18,5021
2018.01.17_16.12.19,5043
