Timestamp,DL_bitrate
2018.02.02_10.40.30,7672
2018.02.02_10.40.31,7236
2018.02.02_10.40.32,7515
2018.02.02_10.40.33,8399
2018.02.02_10.40.34,8209
2018.02.02_10.40.35,9786
2018.02.02_10.40.37,9952
2018.02.02_10.40.38,13935
2018.02.02_10.40.39,11239
2018.02.02_10.40.40,12335
2018.02.02_10.40.41,9562
2018.02.02_10.40.42,9529
2018.02.02_10.40.43,9293
2018.02.02_10.40.44,6912
2018.02.02_10.40.45,6039
2018.02.02_10.40.47,6029
2018.02.02_10.40.48,6173
2018.02.02_10.40.49,3757
2018.02.02_10.40.50,2594
2018.02.02_10.40.51,3645
2018.02.02_10.40.52,3937
2018.02.02_10.40.53,3522
2018.02.02_10.40.54,3847
2018.02.02_10.40.55,3422
2018.02.02_10.40.56,5983
2018.02.02_10.40.58,5513
2018.02.02_10.40.59,4809
2018.02.02_10.41.00,4854
2018.02.02_10.41.01,5547
2018.02.02_10.41.02,4697
2018.02.02_10.41.03,3310
2018.02.02_10.41.04,3232
2018.02.02_10.41.05,5525
2018.02.02_10.41.06,6016
2018.02.02_10.41.07,5200
2018.02.02_10.41.09,3725
2018.02.02_10.41.10,3534
2018.02.02_10.41.11,3500
2018.02.02_10.41.12,3568
2018.02.02_10.41.13,4015
2018.02.02_10.41.14,3355
2018.02.02_10.41.15,3422
2018.02.02_10.41.16,3411
2018.02.02_10.41.17,3690
2018.02.02_10.41.18,3635
2018.02.02_10.41.19,3747
2018.02.02_10.41.21,4027
2018.02.02_10.41.22,4921
2018.02.02_10.41.23,5100
2018.02.02_10.41.24,4060
2018.02.02_10.41.25,3522
2018.02.02_10.41.26,4409
2018.02.02_10.41.27,4529
2018.02.02_10.41.28,4608
2018.02.02_10.41.29,4037
2018.02.02_10.41.30,2930
2018.02.02_10.41.31,2907
2018.02.02_10.41.33,469
2018.02.02_10.41.34,570
2018.02.02_10.41.35,1901
2018.02.02_10.41.36,3490
2018.02.02_10.41.37,3031
2018.02.02_10.41.38,4026
2018.02.02_10.41.39,3411
2018.02.02_10.41.40,3489
2018.02.02_10.41.41,4574
2018.02.02_10.41.42,3344
2018.02.02_10.41.44,1745
2018.02.02_10.41.45,3456
2018.02.02_10.41.46,7482
2018.02.02_10.41.47,7639
2018.02.02_10.41.48,7538
2018.02.02_10.41.49,4742
2018.02.02_10.41.50,3724
2018.02.02_10.41.51,4686
2018.02.02_10.41.52,5168
2018.02.02_10.41.53,6464
2018.02.02_10.41.55,6408
2018.02.02_10.41.56,6732
2018.02.02_10.41.57,6833
2018.02.02_10.41.58,10546
2018.02.02_10.41.59,7739
2018.02.02_10.42.00,8802
2018.02.02_10.42.01,8656
2018.02.02_10.42.02,6744
2018.02.02_10.42.03,6297
2018.02.02_10.42.05,7851
2018.02.02_10.42.06,6151
2018.02.02_10.42.07,4283
2018.02.02_10.42.08,4249
2018.02.02_10.42.09,3713
2018.02.02_10.42.10,3601
2018.02.02_10.42.11,5681
2018.02.02_10.42.12,5312
2018.02.02_10.42.13,5167
2018.02.02_10.42.14,5692
2018.02.02_10.42.16,5905
2018.02.02_10.42.17,3265
2018.02.02_10.42.18,2438
2018.02.02_10.42.19,8120
2018.02.02_10.42.20,3947
2018.02.02_10.42.21,6589
2018.02.02_10.42.22,6374
2018.02.02_10.42.24,4060
2018.02.02_10.42.25,2583
2018.02.02_10.42.26,1845
2018.02.02_10.42.27,1566
2018.02.02_10.42.28,2629
2018.02.02_10.42.30,3691
2018.02.02_10.42.31,1935
2018.02.02_10.42.32,3322
2018.02.02_10.42.33,2438
2018.02.02_10.42.34,3109
2018.02.02_10.42.36,1207
2018.02.02_10.42.37,1409
2018.02.02_10.42.38,2874
2018.02.02_10.42.39,1856
2018.02.02_10.42.40,2147
2018.02.02_10.42.41,1353
2018.02.02_10.42.42,1073
2018.02.02_10.42.43,1778
2018.02.02_10.42.44,300
2018.02.02_10.42.45,300
2018.02.02_10.42.46,300
2018.02.02_10.42.47,480
2018.02.02_10.42.48,2024
2018.02.02_10.42.49,2782
2018.02.02_10.42.50,2226
2018.02.02_10.42.51,2192
2018.02.02_10.42.52,3154
2018.02.02_10.42.53,3337
2018.02.02_10.42.54,3450
2018.02.02_10.42.55,1319
2018.02.02_10.42.56,3166
2018.02.02_10.42.57,2371
2018.02.02_10.42.59,548
2018.02.02_10.43.00,1074
2018.02.02_10.43.01,300
2018.02.02_10.43.02,300
2018.02.02_10.43.03,391
2018.02.02_10.43.04,2494
2018.02.02_10.43.05,3489
2018.02.02_10.43.06,2696
2018.02.02_10.43.07,2326
2018.02.02_10.43.08,1107
2018.02.02_10.43.10,805
2018.02.02_10.43.11,2629
2018.02.02_10.43.12,4149
2018.02.02_10.43.13,3870
2018.02.02_10.43.14,5514
2018.02.02_10.43.15,5815
2018.02.02_10.43.16,3534
2018.02.02_10.43.17,2102
2018.02.02_10.43.19,984
2018.02.02_10.43.20,1186
2018.02.02_10.43.21,2551
2018.02.02_10.43.22,3098
2018.02.02_10.43.23,4834
2018.02.02_10.43.24,4999
2018.02.02_10.43.25,4988
2018.02.02_10.43.26,4484
2018.02.02_10.43.28,4328
2018.02.02_10.43.29,2069
2018.02.02_10.43.30,4038
2018.02.02_10.43.31,3701
2018.02.02_10.43.32,4887
2018.02.02_10.43.33,4887
2018.02.02_10.43.33,4730
2018.02.02_10.43.34,5726
2018.02.02_10.43.35,4853
2018.02.02_10.43.36,3176
2018.02.02_10.43.37,4809
2018.02.02_10.43.39,4283
2018.02.02_10.43.39,4283
